destination,origin,outbound_date,quote
NYCA-sky,BKKT-sky,2021-01-12,409
NYCA-sky,BKKT-sky,2021-01-13,532
NYCA-sky,BKKT-sky,2021-01-14,643
NYCA-sky,BKKT-sky,2021-01-15,672
NYCA-sky,BKKT-sky,2021-01-16,420
NYCA-sky,BKKT-sky,2021-01-17,666
NYCA-sky,BKKT-sky,2021-01-18,643
NYCA-sky,BKKT-sky,2021-01-19,370
NYCA-sky,BKKT-sky,2021-01-20,538
NYCA-sky,BKKT-sky,2021-01-21,636
NYCA-sky,BKKT-sky,2021-01-22,
NYCA-sky,BKKT-sky,2021-01-23,
NYCA-sky,BKKT-sky,2021-01-24,636
NYCA-sky,BKKT-sky,2021-01-25,538
NYCA-sky,BKKT-sky,2021-01-26,630
NYCA-sky,BKKT-sky,2021-01-27,538
NYCA-sky,BKKT-sky,2021-01-28,372
NYCA-sky,BKKT-sky,2021-01-29,636
NYCA-sky,BKKT-sky,2021-01-30,
NYCA-sky,BKKT-sky,2021-01-31,
KULM-sky,BKKT-sky,2021-01-01,165
KULM-sky,BKKT-sky,2021-01-02,
KULM-sky,BKKT-sky,2021-01-03,
KULM-sky,BKKT-sky,2021-01-04,
KULM-sky,BKKT-sky,2021-01-05,
KULM-sky,BKKT-sky,2021-01-06,141
KULM-sky,BKKT-sky,2021-01-07,
KULM-sky,BKKT-sky,2021-01-08,
KULM-sky,BKKT-sky,2021-01-09,
KULM-sky,BKKT-sky,2021-01-10,
KULM-sky,BKKT-sky,2021-01-11,
KULM-sky,BKKT-sky,2021-01-12,
KULM-sky,BKKT-sky,2021-01-13,68
KULM-sky,BKKT-sky,2021-01-14,
KULM-sky,BKKT-sky,2021-01-15,165
KULM-sky,BKKT-sky,2021-01-16,
KULM-sky,BKKT-sky,2021-01-17,
KULM-sky,BKKT-sky,2021-01-18,164
KULM-sky,BKKT-sky,2021-01-19,
KULM-sky,BKKT-sky,2021-01-20,
KULM-sky,BKKT-sky,2021-01-21,
KULM-sky,BKKT-sky,2021-01-22,165
KULM-sky,BKKT-sky,2021-01-23,
KULM-sky,BKKT-sky,2021-01-24,
KULM-sky,BKKT-sky,2021-01-25,
KULM-sky,BKKT-sky,2021-01-26,
KULM-sky,BKKT-sky,2021-01-27,
KULM-sky,BKKT-sky,2021-01-28,
KULM-sky,BKKT-sky,2021-01-29,164
KULM-sky,BKKT-sky,2021-01-30,
KULM-sky,BKKT-sky,2021-01-31,
ISTA-sky,BKKT-sky,2021-01-01,419
ISTA-sky,BKKT-sky,2021-01-02,440
ISTA-sky,BKKT-sky,2021-01-03,427
ISTA-sky,BKKT-sky,2021-01-04,386
ISTA-sky,BKKT-sky,2021-01-05,371
ISTA-sky,BKKT-sky,2021-01-06,411
ISTA-sky,BKKT-sky,2021-01-07,388
ISTA-sky,BKKT-sky,2021-01-08,355
ISTA-sky,BKKT-sky,2021-01-09,358
ISTA-sky,BKKT-sky,2021-01-10,370
ISTA-sky,BKKT-sky,2021-01-11,370
ISTA-sky,BKKT-sky,2021-01-12,
ISTA-sky,BKKT-sky,2021-01-13,
ISTA-sky,BKKT-sky,2021-01-14,370
ISTA-sky,BKKT-sky,2021-01-15,383
ISTA-sky,BKKT-sky,2021-01-16,386
ISTA-sky,BKKT-sky,2021-01-17,386
ISTA-sky,BKKT-sky,2021-01-18,385
ISTA-sky,BKKT-sky,2021-01-19,379
ISTA-sky,BKKT-sky,2021-01-20,378
ISTA-sky,BKKT-sky,2021-01-21,
ISTA-sky,BKKT-sky,2021-01-22,
ISTA-sky,BKKT-sky,2021-01-23,
ISTA-sky,BKKT-sky,2021-01-24,383
ISTA-sky,BKKT-sky,2021-01-25,
ISTA-sky,BKKT-sky,2021-01-26,393
ISTA-sky,BKKT-sky,2021-01-27,429
ISTA-sky,BKKT-sky,2021-01-28,
ISTA-sky,BKKT-sky,2021-01-29,
ISTA-sky,BKKT-sky,2021-01-30,
ISTA-sky,BKKT-sky,2021-01-31,395
HKGA-sky,LOND-sky,2021-01-01,442
HKGA-sky,LOND-sky,2021-01-02,451
HKGA-sky,LOND-sky,2021-01-03,434
HKGA-sky,LOND-sky,2021-01-04,451
HKGA-sky,LOND-sky,2021-01-05,387
HKGA-sky,LOND-sky,2021-01-06,380
HKGA-sky,LOND-sky,2021-01-07,401
HKGA-sky,LOND-sky,2021-01-08,442
HKGA-sky,LOND-sky,2021-01-09,451
HKGA-sky,LOND-sky,2021-01-10,352
HKGA-sky,LOND-sky,2021-01-11,324
HKGA-sky,LOND-sky,2021-01-12,346
HKGA-sky,LOND-sky,2021-01-13,424
HKGA-sky,LOND-sky,2021-01-14,423
HKGA-sky,LOND-sky,2021-01-15,328
HKGA-sky,LOND-sky,2021-01-16,
HKGA-sky,LOND-sky,2021-01-17,443
HKGA-sky,LOND-sky,2021-01-18,312
HKGA-sky,LOND-sky,2021-01-19,
HKGA-sky,LOND-sky,2021-01-20,310
HKGA-sky,LOND-sky,2021-01-21,359
HKGA-sky,LOND-sky,2021-01-22,322
HKGA-sky,LOND-sky,2021-01-23,451
HKGA-sky,LOND-sky,2021-01-24,312
HKGA-sky,LOND-sky,2021-01-25,312
HKGA-sky,LOND-sky,2021-01-26,423
HKGA-sky,LOND-sky,2021-01-27,451
HKGA-sky,LOND-sky,2021-01-28,424
HKGA-sky,LOND-sky,2021-01-29,317
HKGA-sky,LOND-sky,2021-01-30,501
HKGA-sky,LOND-sky,2021-01-31,459
BKKT-sky,LOND-sky,2021-01-01,368
BKKT-sky,LOND-sky,2021-01-02,438
BKKT-sky,LOND-sky,2021-01-03,371
BKKT-sky,LOND-sky,2021-01-04,438
BKKT-sky,LOND-sky,2021-01-05,457
BKKT-sky,LOND-sky,2021-01-06,438
BKKT-sky,LOND-sky,2021-01-07,342
BKKT-sky,LOND-sky,2021-01-08,415
BKKT-sky,LOND-sky,2021-01-09,438
BKKT-sky,LOND-sky,2021-01-10,332
BKKT-sky,LOND-sky,2021-01-11,358
BKKT-sky,LOND-sky,2021-01-12,416
BKKT-sky,LOND-sky,2021-01-13,396
BKKT-sky,LOND-sky,2021-01-14,332
BKKT-sky,LOND-sky,2021-01-15,354
BKKT-sky,LOND-sky,2021-01-16,414
BKKT-sky,LOND-sky,2021-01-17,338
BKKT-sky,LOND-sky,2021-01-18,379
BKKT-sky,LOND-sky,2021-01-19,382
BKKT-sky,LOND-sky,2021-01-20,404
BKKT-sky,LOND-sky,2021-01-21,338
BKKT-sky,LOND-sky,2021-01-22,358
BKKT-sky,LOND-sky,2021-01-23,428
BKKT-sky,LOND-sky,2021-01-24,345
BKKT-sky,LOND-sky,2021-01-25,349
BKKT-sky,LOND-sky,2021-01-26,345
BKKT-sky,LOND-sky,2021-01-27,404
BKKT-sky,LOND-sky,2021-01-28,332
BKKT-sky,LOND-sky,2021-01-29,370
BKKT-sky,LOND-sky,2021-01-30,338
BKKT-sky,LOND-sky,2021-01-31,416
SINS-sky,LOND-sky,2021-01-01,387
SINS-sky,LOND-sky,2021-01-02,421
SINS-sky,LOND-sky,2021-01-03,414
SINS-sky,LOND-sky,2021-01-04,437
SINS-sky,LOND-sky,2021-01-05,406
SINS-sky,LOND-sky,2021-01-06,403
SINS-sky,LOND-sky,2021-01-07,399
SINS-sky,LOND-sky,2021-01-08,430
SINS-sky,LOND-sky,2021-01-09,378
SINS-sky,LOND-sky,2021-01-10,373
SINS-sky,LOND-sky,2021-01-11,
SINS-sky,LOND-sky,2021-01-12,
SINS-sky,LOND-sky,2021-01-13,412
SINS-sky,LOND-sky,2021-01-14,392
SINS-sky,LOND-sky,2021-01-15,402
SINS-sky,LOND-sky,2021-01-16,402
SINS-sky,LOND-sky,2021-01-17,402
SINS-sky,LOND-sky,2021-01-18,405
SINS-sky,LOND-sky,2021-01-19,432
SINS-sky,LOND-sky,2021-01-20,
SINS-sky,LOND-sky,2021-01-21,
SINS-sky,LOND-sky,2021-01-22,394
SINS-sky,LOND-sky,2021-01-23,466
